municipio,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
421630 São João Batista,-,-,-,-,-,-,1,7,12,22,13,9
421635 São João do Itaperiú,-,-,-,-,-,2,5,3,7,1,3,1
421625 São João do Oeste,-,-,-,-,-,-,2,-,-,-,-,-
421640 São João do Sul,-,-,-,-,-,-,2,-,-,-,-,-
421650 São Joaquim,-,-,-,-,-,6,35,30,16,22,42,12
421660 São José,-,-,-,7,110,246,301,351,542,487,471,206
421670 São José do Cedro,-,2,1,5,4,-,4,8,5,3,1,1
421680 São José do Cerrito,-,-,-,-,-,-,1,-,3,-,2,-
421690 São Lourenço do Oeste,-,-,1,-,-,-,-,5,19,30,-,-
421700 São Ludgero,-,-,-,-,2,6,10,8,13,4,12,7
421710 São Martinho,-,-,-,-,1,1,-,1,1,-,-,3
421715 São Miguel da Boa Vista,-,-,-,-,-,1,-,3,5,-,-,-
421720 São Miguel do Oeste,-,-,-,-,1,1,-,13,42,57,15,19
421725 São Pedro de Alcântara,-,-,-,-,-,-,-,8,13,17,4,1
421730 Saudades,-,-,-,-,1,-,-,-,1,-,-,6
421740 Schroeder,-,-,-,-,2,7,21,29,30,23,15,8
421750 Seara,-,3,1,4,4,1,4,22,26,18,17,5
421755 Serra Alta,-,-,-,-,-,-,-,1,2,-,1,-
421760 Siderópolis,-,-,-,-,2,4,4,1,5,1,16,3
421770 Sombrio,1,1,-,1,-,10,5,30,10,26,15,4
421775 Sul Brasil,-,-,-,-,-,1,-,1,-,-,5,-
421780 Taió,-,-,-,-,-,1,5,2,8,10,1,2
421790 Tangará,-,-,-,-,-,-,1,4,19,7,9,-
421795 Tigrinhos,-,-,-,-,-,2,-,2,1,-,1,-
421800 Tijucas,-,2,-,-,5,24,37,37,39,40,40,-
421810 Timbé do Sul,-,-,-,-,-,-,-,-,-,-,-,-
421820 Timbó,1,2,-,-,3,5,24,32,47,54,26,16
421825 Timbó Grande,-,-,-,-,-,-,2,-,7,4,-,-
421830 Três Barras,-,-,-,2,3,4,18,30,18,20,1,1
421835 Treviso,-,2,-,-,-,-,-,4,1,5,4,2
421840 Treze de Maio,-,1,-,1,2,13,8,4,7,13,5,2
421850 Treze Tílias,-,-,1,-,-,-,1,1,6,2,7,3
421860 Trombudo Central,-,3,-,-,1,4,3,1,-,2,-,-
421870 Tubarão,4,8,17,23,13,2,-,28,172,168,122,85
421875 Tunápolis,-,-,-,-,1,-,-,-,6,-,1,1
421880 Turvo,1,-,1,1,-,-,-,-,3,2,4,4
421885 União do Oeste,-,-,-,-,-,-,-,-,2,3,-,-
421890 Urubici,-,-,-,-,-,1,14,6,6,1,2,6
421895 Urupema,-,-,-,-,-,2,-,2,1,4,-,-
421900 Urussanga,-,-,1,2,-,7,7,9,11,18,10,15
421910 Vargeão,-,-,-,-,-,1,-,8,2,1,2,-
421915 Vargem,-,-,-,-,3,2,4,5,4,5,2,2
421917 Vargem Bonita,-,-,-,-,-,4,3,4,10,11,9,3
421920 Vidal Ramos,-,-,-,-,-,-,-,-,-,-,1,-
421930 Videira,-,3,5,4,8,9,92,20,71,81,61,44
421935 Vitor Meireles,-,-,-,-,-,-,-,1,-,-,-,-
421940 Witmarsum,-,-,-,-,-,-,-,-,-,2,2,2
421950 Xanxerê,-,6,1,-,1,-,-,62,51,31,19,23
421960 Xavantina,-,-,-,-,-,1,-,-,1,-,-,-
421970 Xaxim,-,1,-,-,4,5,14,37,45,39,25,26
421985 Zortéa,-,-,-,-,-,-,-,-,-,1,-,-
420000 Município ignorado - SC,-,-,-,-,-,-,-,-,-,-,-,-
430003 Aceguá,-,-,-,-,-,1,2,-,-,-,3,-
430005 Água Santa,-,-,-,-,-,1,2,-,5,2,5,-
430010 Agudo,-,-,-,-,-,-,-,1,-,23,15,3
430020 Ajuricaba,-,-,-,-,-,-,4,7,15,3,13,-
430030 Alecrim,-,-,-,-,-,-,-,-,1,7,-,-
430040 Alegrete,-,-,7,14,32,67,101,126,110,96,35,12
430045 Alegria,-,-,1,-,-,-,-,-,-,-,-,-
430047 Almirante Tamandaré do Sul,-,-,-,-,-,-,-,-,1,-,1,-
430050 Alpestre,-,-,-,-,-,-,-,2,-,1,1,-
430055 Alto Alegre,-,-,-,-,-,-,-,-,-,-,-,-
430057 Alto Feliz,-,-,-,-,-,-,2,2,2,-,1,1
430060 Alvorada,-,-,33,111,178,262,328,542,467,234,172,98
430063 Amaral Ferrador,-,-,-,-,-,-,-,1,4,4,2,-
430064 Ametista do Sul,-,-,-,-,-,1,2,6,2,1,-,-
430066 André da Rocha,-,-,-,-,-,-,-,2,3,-,1,-
430070 Anta Gorda,-,-,-,-,5,-,1,1,-,-,6,1
430080 Antônio Prado,-,-,-,-,-,5,9,13,12,8,8,1
430085 Arambaré,-,-,-,-,-,3,4,2,-,1,-,-
430087 Araricá,-,-,-,-,-,-,7,1,1,1,-,3
430090 Aratiba,-,-,-,-,-,-,-,1,2,-,-,-
430100 Arroio do Meio,-,-,-,1,-,1,2,5,8,10,22,21
430107 Arroio do Padre,-,-,-,-,1,-,-,-,-,-,-,-
430105 Arroio do Sal,-,-,-,-,2,-,4,3,3,2,1,3
430120 Arroio do Tigre,-,-,-,-,-,-,-,7,8,10,8,-
430110 Arroio dos Ratos,-,-,-,-,-,3,3,-,-,-,1,2
430130 Arroio Grande,-,1,-,-,-,1,-,-,-,-,-,-
430140 Arvorezinha,-,-,-,-,-,2,-,5,4,3,5,7
430150 Augusto Pestana,-,-,-,1,-,-,1,2,-,-,1,-
430155 Áurea,-,-,-,-,-,-,-,-,1,3,1,1
430160 Bagé,-,-,2,-,1,123,121,207,150,134,112,38
430163 Balneário Pinhal,-,-,-,-,-,1,7,5,3,8,5,4
430165 Barão,-,-,-,-,-,-,2,3,-,2,-,-
430170 Barão de Cotegipe,-,-,-,-,1,4,2,1,2,9,8,3
430175 Barão do Triunfo,-,-,-,-,-,-,-,-,-,-,-,-
430185 Barra do Guarita,-,-,-,-,-,-,-,-,1,-,-,-
430187 Barra do Quaraí,-,-,-,-,-,-,-,-,1,1,1,-
430190 Barra do Ribeiro,-,-,-,-,-,8,-,8,16,8,1,3
430192 Barra do Rio Azul,-,-,-,-,-,-,2,1,2,-,-,-
430195 Barra Funda,-,-,-,-,-,1,-,5,6,-,-,-
430180 Barracão,-,-,-,-,-,11,3,5,9,7,3,1
430200 Barros Cassal,-,1,-,-,-,-,-,-,1,4,5,2
430205 Benjamin Constant do Sul,-,-,-,-,-,1,-,1,2,3,2,-
430210 Bento Gonçalves,6,24,23,21,90,198,224,243,282,355,240,156
430215 Boa Vista das Missões,-,-,-,-,-,-,-,1,-,-,-,-
430220 Boa Vista do Buricá,-,-,-,3,-,-,2,4,9,3,2,1
430222 Boa Vista do Cadeado,-,-,-,-,-,-,-,4,1,-,-,-
430223 Boa Vista do Incra,-,-,-,-,-,-,-,1,1,-,-,-
430225 Boa Vista do Sul,-,-,-,-,-,-,-,-,-,-,-,-
430230 Bom Jesus,-,-,-,3,-,-,7,16,18,13,2,1
430235 Bom Princípio,-,1,1,1,-,1,2,-,-,6,4,7
430237 Bom Progresso,-,-,-,-,-,-,-,1,-,-,-,-
430240 Bom Retiro do Sul,-,-,-,-,-,1,2,2,5,4,7,5
430245 Boqueirão do Leão,-,-,-,2,1,-,2,2,-,4,1,-
430250 Bossoroca,-,-,-,-,-,-,-,-,-,-,-,-
430258 Bozano,-,-,-,-,-,1,1,1,3,1,3,1
430260 Braga,-,-,-,-,-,1,3,2,1,1,1,-
430265 Brochier,-,-,-,-,-,-,-,-,2,1,2,-
430270 Butiá,-,-,-,-,-,-,1,-,11,6,2,4
430280 Caçapava do Sul,-,-,-,-,9,28,31,42,40,29,27,17
430290 Cacequi,-,-,-,-,-,-,8,6,5,1,1,-
430300 Cachoeira do Sul,-,-,-,-,8,19,18,28,33,51,65,6
430310 Cachoeirinha,-,-,7,6,83,168,275,208,335,334,319,181
430320 Cacique Doble,-,-,-,-,-,-,3,10,17,3,-,-
430330 Caibaté,-,-,-,-,-,-,-,-,-,-,2,-
430340 Caiçara,-,-,-,-,-,-,-,-,1,-,-,-
430350 Camaquã,1,-,-,7,12,41,74,54,91,76,52,34
430355 Camargo,-,-,-,2,4,5,5,1,-,-,3,-
430360 Cambará do Sul,-,-,-,-,1,3,-,4,1,1,2,-
430367 Campestre da Serra,-,-,-,-,-,-,-,2,-,2,-,-
430370 Campina das Missões,-,-,-,-,-,1,1,1,1,3,-,2
430380 Campinas do Sul,-,-,-,-,-,-,-,-,1,4,-,-
430390 Campo Bom,-,1,23,31,64,119,104,60,157,97,54,63
430400 Campo Novo,-,-,-,-,-,-,-,7,3,3,7,2
430410 Campos Borges,-,-,-,-,-,5,3,4,1,1,5,2
430420 Candelária,-,5,10,15,25,25,21,16,10,8,2,-
430430 Cândido Godói,-,-,-,-,-,-,1,4,-,3,3,-
430435 Candiota,-,-,2,-,-,-,-,4,-,-,1,-
430440 Canela,1,2,27,7,18,82,85,156,136,113,88,34
430450 Canguçu,-,-,-,6,10,9,19,23,22,33,35,9
430460 Canoas,12,7,69,161,421,788,734,1019,640,674,501,144
430461 Canudos do Vale,-,-,-,-,-,-,-,-,-,-,1,1
430462 Capão Bonito do Sul,-,-,-,-,1,-,-,2,-,3,-,2
430463 Capão da Canoa,-,2,-,2,12,16,115,33,54,92,90,42
430465 Capão do Cipó,-,-,-,-,-,-,6,1,1,-,-,-
430466 Capão do Leão,-,-,-,-,-,11,11,7,4,15,5,6
430468 Capela de Santana,-,-,-,-,-,-,-,2,1,2,-,-
430469 Capitão,-,-,-,-,2,-,-,-,2,-,-,1
430467 Capivari do Sul,-,-,-,-,-,-,-,-,-,-,-,-
430471 Caraá,-,-,-,-,-,-,1,1,-,-,2,-
430470 Carazinho,-,-,-,6,8,90,72,57,55,43,26,10
430480 Carlos Barbosa,-,-,-,-,1,11,16,24,35,29,3,-
430485 Carlos Gomes,-,-,-,-,-,1,-,1,2,-,2,-
430490 Casca,-,-,-,-,-,1,1,1,2,-,-,-
430495 Caseiros,-,-,-,2,-,-,1,-,-,-,-,-
430500 Catuípe,-,-,-,-,-,-,6,5,7,15,2,6
430510 Caxias do Sul,11,58,304,607,737,1015,891,1113,1586,1589,1344,692
430511 Centenário,-,-,-,-,-,-,1,2,1,-,-,-
430512 Cerrito,-,-,-,-,3,-,10,-,-,2,-,-
430513 Cerro Branco,-,-,-,-,-,-,1,-,-,2,-,-
430515 Cerro Grande,-,-,-,-,-,-,-,-,-,-,-,-
430517 Cerro Grande do Sul,-,-,-,-,-,-,1,1,4,1,-,1
430520 Cerro Largo,-,-,-,-,-,2,5,4,4,4,3,-
430530 Chapada,-,-,-,1,1,2,6,5,2,-,4,1
430535 Charqueadas,-,-,-,-,-,39,41,86,35,19,40,4
430537 Charrua,-,-,-,-,-,3,1,5,26,6,15,2
430540 Chiapetta,-,-,1,-,-,-,-,-,2,-,-,-
430543 Chuí,-,-,-,-,-,-,-,-,3,1,1,-
430544 Chuvisca,-,-,-,-,-,-,1,5,1,-,-,-
430545 Cidreira,-,-,-,-,3,2,13,3,2,12,5,4
430550 Ciríaco,-,-,-,-,-,1,-,-,-,-,1,-
430558 Colinas,-,-,-,-,-,-,2,3,1,2,1,-
430560 Colorado,-,-,-,-,5,1,2,5,3,3,-,-
430570 Condor,-,-,-,-,-,3,17,7,3,14,3,7
430580 Constantina,-,-,-,-,-,-,1,1,3,4,3,2
430583 Coqueiro Baixo,-,-,-,-,-,-,-,-,-,-,1,1
430585 Coqueiros do Sul,-,-,-,-,-,-,-,-,-,2,-,-
430587 Coronel Barros,-,-,-,-,-,-,-,-,-,-,5,2
430590 Coronel Bicaco,-,-,-,-,-,-,3,7,13,5,2,-
430593 Coronel Pilar,-,-,-,-,-,-,-,-,-,-,-,2
430595 Cotiporã,-,-,-,-,-,-,2,5,4,2,3,4
430597 Coxilha,-,-,-,-,-,2,-,5,3,2,5,-
430600 Crissiumal,-,-,-,-,-,-,-,1,2,-,-,-
430605 Cristal,-,-,-,-,-,4,3,5,3,2,-,3
430607 Cristal do Sul,-,-,-,-,-,-,-,-,-,3,1,-
430610 Cruz Alta,-,-,1,-,5,56,79,78,33,87,59,27
430613 Cruzaltense,-,-,-,-,1,-,-,-,1,-,2,-
430620 Cruzeiro do Sul,-,-,-,1,-,-,-,-,-,5,-,-
430630 David Canabarro,-,-,-,-,-,-,-,-,1,-,-,-
430632 Derrubadas,-,-,-,-,-,-,-,-,-,1,1,1
430635 Dezesseis de Novembro,-,-,-,-,-,-,-,-,-,8,-,-
430637 Dilermando de Aguiar,-,-,-,-,-,-,-,-,-,-,-,-
430640 Dois Irmãos,-,-,-,-,-,4,26,28,16,16,9,17
430642 Dois Irmãos das Missões,-,-,-,-,-,-,-,-,3,1,-,-
430645 Dois Lajeados,-,-,-,-,-,-,-,1,-,-,-,1
430650 Dom Feliciano,-,-,-,-,-,-,-,-,2,1,4,1
430660 Dom Pedrito,-,-,-,-,-,26,24,90,112,71,46,27
430655 Dom Pedro de Alcântara,-,-,-,-,-,-,-,-,-,-,-,1
430670 Dona Francisca,-,-,-,-,1,-,-,1,-,1,1,3
430673 Doutor Maurício Cardoso,-,-,-,-,-,-,1,2,-,-,2,1
430675 Doutor Ricardo,-,-,-,-,-,-,-,-,-,-,2,-
430676 Eldorado do Sul,-,1,-,1,1,31,57,30,6,10,7,3
430680 Encantado,-,-,-,-,-,1,-,16,26,13,8,4
430690 Encruzilhada do Sul,-,-,-,-,-,-,-,4,38,42,78,25
430692 Engenho Velho,-,-,-,-,-,-,2,-,6,2,1,-
430695 Entre Rios do Sul,-,-,-,-,2,-,2,4,6,4,-,3
430693 Entre-Ijuís,-,-,-,-,-,2,1,-,4,3,3,12
430697 Erebango,-,-,-,1,-,-,-,1,-,1,1,-
430700 Erechim,-,-,2,-,31,19,46,103,83,117,57,26
430705 Ernestina,-,-,-,-,-,-,2,1,-,-,-,-
430720 Erval Grande,-,-,-,-,-,3,-,1,2,2,-,2
430730 Erval Seco,-,-,-,-,-,-,-,2,2,-,-,-
430740 Esmeralda,-,-,-,-,-,-,2,1,1,8,3,-
430745 Esperança do Sul,-,-,-,-,-,-,-,1,-,1,-,-
430750 Espumoso,-,-,-,-,2,15,23,19,8,7,7,-
430755 Estação,-,-,-,-,3,3,6,8,1,3,7,2
430760 Estância Velha,-,3,8,2,7,78,94,52,43,74,66,47
430770 Esteio,-,9,8,5,9,40,28,120,152,104,92,37
430780 Estrela,4,6,20,11,31,32,60,63,80,90,70,27
430781 Estrela Velha,-,-,-,-,-,2,4,-,1,6,1,-
430783 Eugênio de Castro,-,-,-,-,-,2,-,-,-,2,1,-
430786 Fagundes Varela,-,-,-,1,-,-,2,1,2,-,1,2
430790 Farroupilha,-,2,7,4,12,20,41,52,44,57,71,23
430800 Faxinal do Soturno,-,-,-,-,-,-,4,3,2,3,2,7
430805 Faxinalzinho,-,-,-,-,-,-,-,-,-,3,9,-
430807 Fazenda Vilanova,-,-,1,2,-,4,10,9,6,12,1,6
430810 Feliz,-,-,-,-,-,3,4,7,6,8,10,7
430820 Flores da Cunha,-,-,-,2,2,10,3,26,41,51,62,4
430825 Floriano Peixoto,-,-,-,-,2,3,2,-,-,-,-,2
430830 Fontoura Xavier,-,-,-,-,-,3,1,-,1,-,-,-
430840 Formigueiro,-,-,-,-,-,-,-,3,1,-,-,-
430843 Forquetinha,-,-,-,1,-,-,1,-,-,1,2,-
430845 Fortaleza dos Valos,-,-,-,-,2,-,-,14,3,1,1,-
430850 Frederico Westphalen,-,1,-,-,3,14,29,29,28,26,21,10
430860 Garibaldi,-,-,-,-,8,8,11,12,12,18,23,23
430865 Garruchos,-,-,-,-,-,-,-,-,3,-,-,-
430870 Gaurama,-,-,-,-,1,-,3,1,3,6,2,1
430880 General Câmara,-,-,-,-,-,1,-,8,2,-,-,-
430885 Gentil,-,-,-,-,-,-,-,1,1,-,1,1
430890 Getúlio Vargas,-,-,-,-,-,-,-,6,4,13,14,5
430900 Giruá,-,-,-,-,-,-,1,11,15,12,3,3
430905 Glorinha,-,-,-,-,-,-,11,22,17,13,9,1
430910 Gramado,-,1,13,26,37,41,54,91,137,129,124,88
430912 Gramado dos Loureiros,-,-,-,-,-,1,-,-,2,-,-,-
430915 Gramado Xavier,-,-,-,-,-,-,-,-,-,-,1,-
430920 Gravataí,4,8,84,114,192,148,173,119,353,356,231,100
430925 Guabiju,-,-,-,-,-,2,-,-,-,-,-,-
430930 Guaíba,-,-,-,-,12,54,69,79,131,107,99,56
430940 Guaporé,-,1,1,14,11,9,24,32,14,16,23,17
430950 Guarani das Missões,-,1,-,1,1,-,5,2,1,2,-,-
430955 Harmonia,-,-,-,-,-,1,-,-,-,-,-,-
430710 Herval,-,-,-,-,-,1,1,5,4,1,6,-
430957 Herveiras,-,-,-,-,-,-,-,-,-,1,1,-
430960 Horizontina,-,8,6,6,6,2,8,13,16,11,6,-
430965 Hulha Negra,-,-,-,-,-,-,-,1,1,2,-,-
430970 Humaitá,-,-,-,1,-,-,-,-,-,-,-,-
430975 Ibarama,-,-,-,-,-,-,-,-,-,-,-,-
430980 Ibiaçá,-,-,-,-,-,-,-,1,1,2,4,1
430990 Ibiraiaras,-,-,-,-,-,-,-,4,11,3,2,2
430995 Ibirapuitã,-,-,-,-,-,-,1,-,-,-,-,-
431000 Ibirubá,-,1,-,-,8,13,28,40,43,20,21,3
431010 Igrejinha,-,1,5,1,10,9,21,38,83,67,39,29
431020 Ijuí,8,33,33,17,19,21,39,98,82,55,51,47
431030 Ilópolis,-,-,-,-,-,-,-,3,2,3,2,1
431033 Imbé,-,-,-,1,5,9,10,22,35,26,28,15
431036 Imigrante,-,-,-,-,-,-,-,-,-,-,-,-
431040 Independência,-,-,-,-,-,-,3,7,2,4,3,4
431041 Inhacorá,-,-,-,-,-,-,-,-,1,-,1,-
431043 Ipê,-,-,-,-,-,-,-,2,5,2,2,-
431046 Ipiranga do Sul,-,-,-,-,-,1,1,1,2,-,-,-
431050 Iraí,-,-,-,-,-,2,-,-,1,-,-,1
431053 Itaara,-,-,-,-,1,-,-,-,-,2,7,1
431055 Itacurubi,-,-,-,-,-,1,1,1,2,1,2,1
431057 Itapuca,-,-,-,-,-,-,-,2,1,-,-,-
431060 Itaqui,-,-,-,-,2,40,28,15,38,35,5,-
431065 Itati,-,-,-,-,-,-,-,-,-,2,-,-
431070 Itatiba do Sul,-,-,-,-,-,-,-,2,-,1,1,-
431075 Ivorá,-,-,-,-,-,-,-,-,-,-,-,-
431080 Ivoti,-,-,-,-,2,6,18,24,12,15,10,7
431085 Jaboticaba,-,-,-,-,-,1,-,2,1,-,1,-
431087 Jacuizinho,-,-,-,-,-,3,-,1,2,-,-,-
431090 Jacutinga,-,-,-,-,-,4,1,1,-,-,4,1
431100 Jaguarão,-,-,3,1,1,7,23,24,26,32,24,4
431110 Jaguari,-,-,-,-,-,-,-,-,-,3,4,1
431112 Jaquirana,-,-,-,-,-,-,2,2,6,1,-,-
431113 Jari,-,-,-,-,-,1,-,1,1,-,-,-
431115 Jóia,-,-,-,-,1,-,-,-,-,-,-,-
431120 Júlio de Castilhos,-,-,-,-,6,3,2,13,10,17,18,5
431123 Lagoa Bonita do Sul,-,-,-,-,-,-,2,-,-,2,-,2
431127 Lagoa dos Três Cantos,-,-,-,-,-,2,1,2,1,1,-,-
431130 Lagoa Vermelha,-,-,-,4,-,3,9,28,30,62,20,10
431125 Lagoão,-,-,-,-,-,-,-,-,1,2,4,1
431140 Lajeado,-,8,12,52,151,106,126,162,172,232,216,170
431142 Lajeado do Bugre,-,-,-,-,-,-,-,2,-,1,2,1
431150 Lavras do Sul,-,-,-,-,-,1,6,8,15,5,15,2
431160 Liberato Salzano,-,-,-,-,-,-,-,-,1,3,2,-
431162 Lindolfo Collor,-,-,-,-,-,-,-,1,-,-,1,-
431164 Linha Nova,-,-,-,-,-,-,-,-,2,-,-,-
431171 Maçambará,-,-,-,-,-,-,-,-,3,2,1,-
431170 Machadinho,-,-,-,1,-,1,5,3,2,6,7,-
431173 Mampituba,-,-,-,-,-,-,-,-,-,2,-,1
431175 Manoel Viana,-,-,-,-,-,-,2,2,6,3,3,5
431177 Maquiné,-,-,-,-,-,-,-,1,1,1,-,-
431179 Maratá,-,-,1,-,-,-,-,-,-,-,-,-
431180 Marau,-,2,-,4,8,55,44,61,57,47,59,29
431190 Marcelino Ramos,-,-,-,-,-,1,-,-,-,2,-,1
431198 Mariana Pimentel,-,-,-,-,-,1,-,-,-,-,-,-
431200 Mariano Moro,-,-,-,-,-,-,-,-,-,-,-,-
431205 Marques de Souza,-,-,-,-,2,-,-,1,1,-,-,-
431210 Mata,-,-,-,-,1,-,1,-,-,-,-,1
431213 Mato Castelhano,-,-,-,-,-,-,1,2,1,5,2,1
431215 Mato Leitão,-,-,-,-,-,2,3,3,3,3,5,2
431217 Mato Queimado,-,-,-,-,-,-,-,-,-,-,-,-
431220 Maximiliano de Almeida,-,-,-,-,-,-,-,-,1,-,1,-
431225 Minas do Leão,-,-,-,-,-,-,-,7,6,3,-,-
431230 Miraguaí,-,-,-,-,-,-,-,-,-,-,-,-
431235 Montauri,-,-,-,-,-,-,-,-,-,-,-,-
431237 Monte Alegre dos Campos,-,-,-,-,-,-,-,1,2,3,-,-
431238 Monte Belo do Sul,-,-,-,-,-,-,-,1,2,1,-,-
431240 Montenegro,-,-,1,3,11,58,32,62,99,80,86,55
431242 Mormaço,-,-,-,-,1,3,-,-,-,1,1,-
431244 Morrinhos do Sul,-,-,-,-,-,-,-,-,-,-,-,-
431245 Morro Redondo,-,-,-,-,-,-,1,-,-,-,-,-
431247 Morro Reuter,-,-,-,-,1,-,-,-,1,-,2,3
431250 Mostardas,-,-,-,-,-,-,-,8,8,2,7,3
431260 Muçum,-,-,-,-,-,-,-,1,-,1,-,-
431261 Muitos Capões,-,-,-,-,-,-,1,-,1,1,1,-
431262 Muliterno,-,-,-,-,-,1,1,-,-,-,-,-
431265 Não-Me-Toque,-,-,-,-,-,3,7,9,9,15,7,5
431267 Nicolau Vergueiro,-,-,-,-,-,-,-,-,-,-,-,-
431270 Nonoai,-,-,-,-,1,5,8,8,5,3,12,6
431275 Nova Alvorada,-,-,-,-,-,2,1,-,3,1,1,-
431280 Nova Araçá,-,-,-,-,2,1,-,-,-,10,1,-
431290 Nova Bassano,-,1,1,2,4,2,6,18,12,10,10,5
431295 Nova Boa Vista,-,-,-,-,-,-,-,1,1,-,-,-
431300 Nova Bréscia,-,-,-,-,-,-,-,-,-,-,-,-
431301 Nova Candelária,-,-,-,-,-,1,-,-,-,-,-,-
431303 Nova Esperança do Sul,-,-,-,-,-,-,1,1,-,-,-,-
431306 Nova Hartz,-,-,-,-,4,8,5,11,25,4,5,7
431308 Nova Pádua,-,-,-,-,-,-,-,-,-,-,-,-
431310 Nova Palma,-,-,-,-,-,2,-,-,1,1,4,-
431320 Nova Petrópolis,-,-,-,-,-,8,3,2,9,7,5,2
431330 Nova Prata,-,-,-,-,2,37,31,25,16,9,17,5
431333 Nova Ramada,-,-,-,-,-,-,-,-,-,-,4,-
431335 Nova Roma do Sul,-,-,-,-,1,-,-,-,-,1,-,-
431337 Nova Santa Rita,-,-,-,-,-,-,3,6,28,7,9,5
431349 Novo Barreiro,-,-,-,-,-,-,1,-,3,-,-,-
431339 Novo Cabrais,-,-,-,-,-,2,1,-,6,4,2,-
431340 Novo Hamburgo,-,1,12,8,14,41,71,98,97,111,117,111
431342 Novo Machado,-,-,-,-,-,-,-,-,-,1,-,-
431344 Novo Tiradentes,-,-,-,-,-,-,-,-,-,-,-,-
431346 Novo Xingu,-,-,-,-,-,1,2,-,-,-,1,-
431350 Osório,-,-,-,-,-,-,13,14,10,99,18,19
431360 Paim Filho,-,-,-,-,-,-,-,-,-,-,-,-
431365 Palmares do Sul,-,-,-,-,-,2,1,5,5,2,2,5
431370 Palmeira das Missões,-,-,-,-,-,23,80,62,68,46,31,17
431380 Palmitinho,-,-,-,1,-,-,-,-,-,-,-,-
431390 Panambi,-,-,-,-,1,-,18,27,21,19,10,5
431395 Pantano Grande,-,-,-,-,-,1,1,9,10,10,5,2
431400 Paraí,-,-,-,-,-,-,-,-,-,-,1,-
431402 Paraíso do Sul,-,-,-,-,-,-,-,-,3,1,-,-
431403 Pareci Novo,-,-,-,-,-,-,-,-,4,3,2,1
431405 Parobé,-,1,-,-,-,13,8,9,30,21,86,38
431406 Passa Sete,-,-,-,-,-,-,-,1,2,6,-,1
431407 Passo do Sobrado,-,-,-,-,-,-,-,-,-,-,-,-
431410 Passo Fundo,1,88,199,306,456,551,841,906,827,651,607,242
431413 Paulo Bento,-,-,-,-,-,-,-,-,-,-,-,-
431415 Paverama,-,-,-,1,-,-,-,2,1,11,3,9
431417 Pedras Altas,-,-,-,-,-,-,2,7,1,4,-,-
431420 Pedro Osório,-,-,-,-,-,1,5,3,4,1,-,-
431430 Pejuçara,-,-,-,-,-,-,4,1,3,4,-,-
431440 Pelotas,-,-,-,1,4,130,490,666,606,628,493,180
431442 Picada Café,-,-,-,-,-,-,-,2,5,1,-,1
431445 Pinhal,-,-,-,-,-,-,-,-,1,-,1,-
431446 Pinhal da Serra,-,-,-,-,-,-,-,-,1,4,1,-
431447 Pinhal Grande,-,-,-,-,-,-,-,2,9,4,3,-
431449 Pinheirinho do Vale,-,-,-,-,-,-,-,1,-,-,-,-
431450 Pinheiro Machado,-,-,-,1,1,6,9,18,7,9,13,2
431454 Pinto Bandeira,-,-,-,-,1,1,-,-,1,4,2,-
431455 Pirapó,-,1,-,-,-,1,2,-,1,1,1,-
431460 Piratini,-,-,-,1,-,-,-,-,-,-,1,-
431470 Planalto,-,-,-,-,1,-,-,6,-,-,3,-
431475 Poço das Antas,-,-,-,-,-,1,-,1,2,1,1,-
431477 Pontão,-,-,-,-,1,-,-,-,2,1,-,1
431478 Ponte Preta,-,-,-,-,-,-,-,-,-,-,1,-
431480 Portão,-,-,-,1,4,8,13,25,13,12,12,-
431490 Porto Alegre,55,390,1273,938,1432,2923,2009,1869,2918,2324,2100,754
431500 Porto Lucena,-,-,-,-,2,3,-,2,3,1,1,1
431505 Porto Mauá,-,-,-,1,1,-,1,4,-,-,-,-
431507 Porto Vera Cruz,-,-,-,-,-,-,-,-,-,-,-,-
431510 Porto Xavier,-,-,1,4,3,-,-,2,2,3,1,-
431513 Pouso Novo,-,-,-,-,-,1,-,-,-,-,-,-
431514 Presidente Lucena,-,-,-,1,-,-,-,1,2,-,1,-
431515 Progresso,-,-,-,-,-,-,2,-,3,2,10,3
431517 Protásio Alves,-,-,-,-,-,-,-,-,1,-,-,-
431520 Putinga,-,-,-,-,-,-,-,-,3,-,-,-
431530 Quaraí,-,-,1,-,5,5,3,5,11,11,5,7
431531 Quatro Irmãos,-,-,-,-,-,1,1,4,1,2,1,1
431532 Quevedos,-,-,-,-,-,-,1,1,-,-,-,-
431535 Quinze de Novembro,-,-,-,-,-,-,-,5,3,1,-,-
431540 Redentora,-,-,-,-,-,-,3,7,7,7,2,-
431545 Relvado,-,-,-,1,-,1,-,2,-,-,-,-
431550 Restinga Seca,-,-,-,-,2,5,3,18,22,9,9,5
431555 Rio dos Índios,-,-,-,-,-,-,-,1,-,-,-,-
431560 Rio Grande,-,4,40,100,319,484,355,334,542,517,313,131
431570 Rio Pardo,-,-,-,-,6,10,7,23,40,41,43,24
431575 Riozinho,-,-,-,-,-,-,-,-,-,1,-,-
431580 Roca Sales,-,-,-,-,2,-,2,2,7,6,2,5
431590 Rodeio Bonito,-,-,-,-,-,-,-,-,-,1,3,-
431595 Rolador,-,-,-,-,-,-,-,-,-,1,-,-
431600 Rolante,-,-,-,-,-,1,8,18,12,11,14,11
